# PageRank Scores
# Nodes: 1673
# Damping Factor: 0.85
# Format: node_id | rank | normalized_rank(%)

0 | 0.000590136017 | 37.037037%
1 | 0.001593367252 | 100.000000%
2 | 0.000590136017 | 37.037037%
3 | 0.000678836127 | 42.603871%
4 | 0.000716129287 | 44.944396%
5 | 0.000613218129 | 38.485674%
6 | 0.000594507310 | 37.311380%
7 | 0.000594507310 | 37.311380%
8 | 0.000594507310 | 37.311380%
9 | 0.000594507310 | 37.311380%
10 | 0.000594507310 | 37.311380%
11 | 0.000594507310 | 37.311380%
12 | 0.000594507310 | 37.311380%
13 | 0.000594507310 | 37.311380%
14 | 0.000594507310 | 37.311380%
15 | 0.000594507310 | 37.311380%
16 | 0.000594507310 | 37.311380%
17 | 0.000594507310 | 37.311380%
18 | 0.000594507310 | 37.311380%
19 | 0.000594507310 | 37.311380%
20 | 0.000594507310 | 37.311380%
21 | 0.000594507310 | 37.311380%
22 | 0.000594507310 | 37.311380%
23 | 0.000594507310 | 37.311380%
24 | 0.000594507310 | 37.311380%
25 | 0.000594507310 | 37.311380%
26 | 0.000594507310 | 37.311380%
27 | 0.000594507310 | 37.311380%
28 | 0.000594507310 | 37.311380%
29 | 0.000594507310 | 37.311380%
30 | 0.000594507310 | 37.311380%
31 | 0.000594507310 | 37.311380%
32 | 0.000594507310 | 37.311380%
33 | 0.000594507310 | 37.311380%
34 | 0.000594507310 | 37.311380%
35 | 0.000594507310 | 37.311380%
36 | 0.000594507310 | 37.311380%
37 | 0.000594507310 | 37.311380%
38 | 0.000594507310 | 37.311380%
39 | 0.000594507310 | 37.311380%
40 | 0.000594507310 | 37.311380%
41 | 0.000594507310 | 37.311380%
42 | 0.000594507310 | 37.311380%
43 | 0.000594507310 | 37.311380%
44 | 0.000594507310 | 37.311380%
45 | 0.000594507310 | 37.311380%
46 | 0.000594507310 | 37.311380%
47 | 0.000594507310 | 37.311380%
48 | 0.000594507310 | 37.311380%
49 | 0.000594507310 | 37.311380%
50 | 0.000594507310 | 37.311380%
51 | 0.000594507310 | 37.311380%
52 | 0.000594507310 | 37.311380%
53 | 0.000594507310 | 37.311380%
54 | 0.000594507310 | 37.311380%
55 | 0.000594507310 | 37.311380%
56 | 0.000594507310 | 37.311380%
57 | 0.000594507310 | 37.311380%
58 | 0.000594507310 | 37.311380%
59 | 0.000594507310 | 37.311380%
60 | 0.000594507310 | 37.311380%
61 | 0.000594507310 | 37.311380%
62 | 0.000594507310 | 37.311380%
63 | 0.000594507310 | 37.311380%
64 | 0.000594507310 | 37.311380%
65 | 0.000594507310 | 37.311380%
66 | 0.000594507310 | 37.311380%
67 | 0.000594507310 | 37.311380%
68 | 0.000594507310 | 37.311380%
69 | 0.000594507310 | 37.311380%
70 | 0.000594507310 | 37.311380%
71 | 0.000594507310 | 37.311380%
72 | 0.000594507310 | 37.311380%
73 | 0.000594507310 | 37.311380%
74 | 0.000596549298 | 37.439536%
75 | 0.000594507310 | 37.311380%
76 | 0.000594507310 | 37.311380%
77 | 0.000594507310 | 37.311380%
78 | 0.000600584849 | 37.692807%
79 | 0.000600584849 | 37.692807%
80 | 0.000600584849 | 37.692807%
81 | 0.000594507310 | 37.311380%
82 | 0.000594507310 | 37.311380%
83 | 0.000594507310 | 37.311380%
84 | 0.000594507310 | 37.311380%
85 | 0.000594507310 | 37.311380%
86 | 0.000594507310 | 37.311380%
87 | 0.000594507310 | 37.311380%
88 | 0.000594507310 | 37.311380%
89 | 0.000594507310 | 37.311380%
90 | 0.000594507310 | 37.311380%
91 | 0.000605953090 | 38.029719%
92 | 0.000594507310 | 37.311380%
93 | 0.000594507310 | 37.311380%
94 | 0.000594507310 | 37.311380%
95 | 0.000594507310 | 37.311380%
96 | 0.000594507310 | 37.311380%
97 | 0.000594507310 | 37.311380%
98 | 0.000594507310 | 37.311380%
99 | 0.000594507310 | 37.311380%
100 | 0.000594507310 | 37.311380%
101 | 0.000594507310 | 37.311380%
102 | 0.000594507310 | 37.311380%
103 | 0.000594507310 | 37.311380%
104 | 0.000594507310 | 37.311380%
105 | 0.000594507310 | 37.311380%
106 | 0.000594507310 | 37.311380%
107 | 0.000594507310 | 37.311380%
108 | 0.000594507310 | 37.311380%
109 | 0.000594507310 | 37.311380%
110 | 0.000594507310 | 37.311380%
111 | 0.000594507310 | 37.311380%
112 | 0.000594507310 | 37.311380%
113 | 0.000594507310 | 37.311380%
114 | 0.000594507310 | 37.311380%
115 | 0.000594507310 | 37.311380%
116 | 0.000594507310 | 37.311380%
117 | 0.000594507310 | 37.311380%
118 | 0.000594507310 | 37.311380%
119 | 0.000594507310 | 37.311380%
120 | 0.000594507310 | 37.311380%
121 | 0.000594507310 | 37.311380%
122 | 0.000594507310 | 37.311380%
123 | 0.000594507310 | 37.311380%
124 | 0.000594507310 | 37.311380%
125 | 0.000594507310 | 37.311380%
126 | 0.000610808317 | 38.334434%
127 | 0.000594507310 | 37.311380%
128 | 0.000594507310 | 37.311380%
129 | 0.000594507310 | 37.311380%
130 | 0.000594507310 | 37.311380%
131 | 0.000608164910 | 38.168533%
132 | 0.000594507310 | 37.311380%
133 | 0.000594507310 | 37.311380%
134 | 0.000594507310 | 37.311380%
135 | 0.000594507310 | 37.311380%
136 | 0.000590136017 | 37.037037%
137 | 0.000592175105 | 37.165010%
138 | 0.000592175105 | 37.165010%
139 | 0.000592175105 | 37.165010%
140 | 0.000592175105 | 37.165010%
141 | 0.000592175105 | 37.165010%
142 | 0.000592175105 | 37.165010%
143 | 0.000592175105 | 37.165010%
144 | 0.000592175105 | 37.165010%
145 | 0.000592175105 | 37.165010%
146 | 0.000592175105 | 37.165010%
147 | 0.000592175105 | 37.165010%
148 | 0.000592175105 | 37.165010%
149 | 0.000592175105 | 37.165010%
150 | 0.000592175105 | 37.165010%
151 | 0.000592175105 | 37.165010%
152 | 0.000592175105 | 37.165010%
153 | 0.000592175105 | 37.165010%
154 | 0.000592175105 | 37.165010%
155 | 0.000592175105 | 37.165010%
156 | 0.000592175105 | 37.165010%
157 | 0.000592175105 | 37.165010%
158 | 0.000592175105 | 37.165010%
159 | 0.000592175105 | 37.165010%
160 | 0.000592175105 | 37.165010%
161 | 0.000592175105 | 37.165010%
162 | 0.000592175105 | 37.165010%
163 | 0.000592175105 | 37.165010%
164 | 0.000592175105 | 37.165010%
165 | 0.000592175105 | 37.165010%
166 | 0.000592175105 | 37.165010%
167 | 0.000592175105 | 37.165010%
168 | 0.000592175105 | 37.165010%
169 | 0.000592175105 | 37.165010%
170 | 0.000592175105 | 37.165010%
171 | 0.000592175105 | 37.165010%
172 | 0.000592175105 | 37.165010%
173 | 0.000592175105 | 37.165010%
174 | 0.000592175105 | 37.165010%
175 | 0.000592175105 | 37.165010%
176 | 0.000592175105 | 37.165010%
177 | 0.000592175105 | 37.165010%
178 | 0.000592175105 | 37.165010%
179 | 0.000592175105 | 37.165010%
180 | 0.000592175105 | 37.165010%
181 | 0.000592175105 | 37.165010%
182 | 0.000592175105 | 37.165010%
183 | 0.000592175105 | 37.165010%
184 | 0.000592175105 | 37.165010%
185 | 0.000592175105 | 37.165010%
186 | 0.000592175105 | 37.165010%
187 | 0.000592175105 | 37.165010%
188 | 0.000592175105 | 37.165010%
189 | 0.000592175105 | 37.165010%
190 | 0.000592175105 | 37.165010%
191 | 0.000592175105 | 37.165010%
192 | 0.000592175105 | 37.165010%
193 | 0.000592175105 | 37.165010%
194 | 0.000592175105 | 37.165010%
195 | 0.000592175105 | 37.165010%
196 | 0.000592175105 | 37.165010%
197 | 0.000592175105 | 37.165010%
198 | 0.000592175105 | 37.165010%
199 | 0.000592175105 | 37.165010%
200 | 0.000592175105 | 37.165010%
201 | 0.000592175105 | 37.165010%
202 | 0.000592175105 | 37.165010%
203 | 0.000592175105 | 37.165010%
204 | 0.000592175105 | 37.165010%
205 | 0.000592175105 | 37.165010%
206 | 0.000592175105 | 37.165010%
207 | 0.000592175105 | 37.165010%
208 | 0.000592175105 | 37.165010%
209 | 0.000592175105 | 37.165010%
210 | 0.000592175105 | 37.165010%
211 | 0.000592175105 | 37.165010%
212 | 0.000592175105 | 37.165010%
213 | 0.000592175105 | 37.165010%
214 | 0.000592175105 | 37.165010%
215 | 0.000592175105 | 37.165010%
216 | 0.000592175105 | 37.165010%
217 | 0.000592175105 | 37.165010%
218 | 0.000592175105 | 37.165010%
219 | 0.000592175105 | 37.165010%
220 | 0.000592175105 | 37.165010%
221 | 0.000592175105 | 37.165010%
222 | 0.000592175105 | 37.165010%
223 | 0.000592175105 | 37.165010%
224 | 0.000592175105 | 37.165010%
225 | 0.000592175105 | 37.165010%
226 | 0.000592175105 | 37.165010%
227 | 0.000592175105 | 37.165010%
228 | 0.000592175105 | 37.165010%
229 | 0.000592175105 | 37.165010%
230 | 0.000592175105 | 37.165010%
231 | 0.000592175105 | 37.165010%
232 | 0.000592175105 | 37.165010%
233 | 0.000592175105 | 37.165010%
234 | 0.000592175105 | 37.165010%
235 | 0.000592175105 | 37.165010%
236 | 0.000592175105 | 37.165010%
237 | 0.000592175105 | 37.165010%
238 | 0.000592175105 | 37.165010%
239 | 0.000592175105 | 37.165010%
240 | 0.000592175105 | 37.165010%
241 | 0.000592175105 | 37.165010%
242 | 0.000592175105 | 37.165010%
243 | 0.000592175105 | 37.165010%
244 | 0.000592175105 | 37.165010%
245 | 0.000592175105 | 37.165010%
246 | 0.000592175105 | 37.165010%
247 | 0.000592175105 | 37.165010%
248 | 0.000592175105 | 37.165010%
249 | 0.000592175105 | 37.165010%
250 | 0.000592175105 | 37.165010%
251 | 0.000592175105 | 37.165010%
252 | 0.000592175105 | 37.165010%
253 | 0.000592175105 | 37.165010%
254 | 0.000592175105 | 37.165010%
255 | 0.000592175105 | 37.165010%
256 | 0.000592175105 | 37.165010%
257 | 0.000592175105 | 37.165010%
258 | 0.000592175105 | 37.165010%
259 | 0.000592175105 | 37.165010%
260 | 0.000592175105 | 37.165010%
261 | 0.000592175105 | 37.165010%
262 | 0.000592175105 | 37.165010%
263 | 0.000592175105 | 37.165010%
264 | 0.000592175105 | 37.165010%
265 | 0.000592175105 | 37.165010%
266 | 0.000592175105 | 37.165010%
267 | 0.000592175105 | 37.165010%
268 | 0.000592175105 | 37.165010%
269 | 0.000592175105 | 37.165010%
270 | 0.000592175105 | 37.165010%
271 | 0.000592175105 | 37.165010%
272 | 0.000592175105 | 37.165010%
273 | 0.000592175105 | 37.165010%
274 | 0.000592175105 | 37.165010%
275 | 0.000592175105 | 37.165010%
276 | 0.000592175105 | 37.165010%
277 | 0.000592175105 | 37.165010%
278 | 0.000592175105 | 37.165010%
279 | 0.000592175105 | 37.165010%
280 | 0.000592175105 | 37.165010%
281 | 0.000592175105 | 37.165010%
282 | 0.000592175105 | 37.165010%
283 | 0.000592175105 | 37.165010%
284 | 0.000592175105 | 37.165010%
285 | 0.000592175105 | 37.165010%
286 | 0.000592175105 | 37.165010%
287 | 0.000592175105 | 37.165010%
288 | 0.000592175105 | 37.165010%
289 | 0.000592175105 | 37.165010%
290 | 0.000592175105 | 37.165010%
291 | 0.000592175105 | 37.165010%
292 | 0.000592175105 | 37.165010%
293 | 0.000592175105 | 37.165010%
294 | 0.000592175105 | 37.165010%
295 | 0.000592175105 | 37.165010%
296 | 0.000592175105 | 37.165010%
297 | 0.000592175105 | 37.165010%
298 | 0.000592175105 | 37.165010%
299 | 0.000592175105 | 37.165010%
300 | 0.000592175105 | 37.165010%
301 | 0.000592175105 | 37.165010%
302 | 0.000592175105 | 37.165010%
303 | 0.000592175105 | 37.165010%
304 | 0.000592175105 | 37.165010%
305 | 0.000592175105 | 37.165010%
306 | 0.000592175105 | 37.165010%
307 | 0.000592175105 | 37.165010%
308 | 0.000592175105 | 37.165010%
309 | 0.000592175105 | 37.165010%
310 | 0.000592175105 | 37.165010%
311 | 0.000592175105 | 37.165010%
312 | 0.000592175105 | 37.165010%
313 | 0.000592175105 | 37.165010%
314 | 0.000592175105 | 37.165010%
315 | 0.000592175105 | 37.165010%
316 | 0.000592175105 | 37.165010%
317 | 0.000592175105 | 37.165010%
318 | 0.000592175105 | 37.165010%
319 | 0.000592175105 | 37.165010%
320 | 0.000592175105 | 37.165010%
321 | 0.000592175105 | 37.165010%
322 | 0.000592175105 | 37.165010%
323 | 0.000592175105 | 37.165010%
324 | 0.000592175105 | 37.165010%
325 | 0.000592175105 | 37.165010%
326 | 0.000592175105 | 37.165010%
327 | 0.000592175105 | 37.165010%
328 | 0.000592175105 | 37.165010%
329 | 0.000592175105 | 37.165010%
330 | 0.000592175105 | 37.165010%
331 | 0.000592175105 | 37.165010%
332 | 0.000592175105 | 37.165010%
333 | 0.000592175105 | 37.165010%
334 | 0.000592175105 | 37.165010%
335 | 0.000592175105 | 37.165010%
336 | 0.000592175105 | 37.165010%
337 | 0.000592175105 | 37.165010%
338 | 0.000592175105 | 37.165010%
339 | 0.000592175105 | 37.165010%
340 | 0.000592175105 | 37.165010%
341 | 0.000592175105 | 37.165010%
342 | 0.000592175105 | 37.165010%
343 | 0.000592175105 | 37.165010%
344 | 0.000592175105 | 37.165010%
345 | 0.000592175105 | 37.165010%
